Cafe Name,Location,Open,Close,Coffee,Wifi,Power
스타벅스 수내점,https://map.naver.com/p/search/스타벅스 수내점,09:00,22:00,3,4,2
메가커피 느티마을점,https://map.naver.com/p/search/메가커피 느티마을점,09:00,21:40,3,4,4
